"","reads_processed","reads_aligned","failed","suppressed","sample","mouse","day","tissue","tissue_final"
"1",5191653,3223088,1968565,0,"M45_D6_Sub_Cu","M45","D6","sub","s.c. fat"
"2",6065242,3015423,3049817,2,"M45_D6_Lung","M45","D6","lung","lung"
"3",6366492,1143214,5223278,0,"M16_D6_Brain","M16","D6","brain","brain"
"4",6310295,5053354,1256941,0,"M42_D6_blood","M42","D6","blood","blood"
"5",3454649,2813160,641489,0,"M45_D6_blood","M45","D6","blood","blood"
"6",7195495,186877,7008617,1,"M15_D10_Brain","M15","D10","brain","brain"
"7",7813936,4223278,3590658,0,"M13_D6_Heart","M13","D6","heart","heart"
"8",6985147,5081706,1903411,30,"M39_D6_Lung","M39","D6","lung","lung"
"9",5517118,3223919,2000655,292544,"M15_D10_blood","M15","D10","blood","blood"
"10",5518970,1444686,4074284,0,"M45_D6_Brain","M45","D6","brain","brain"
"11",3559675,1330680,2145266,83729,"M40_D10_Ear","M40","D10","ear","skin"
"12",4753788,3447542,1306246,0,"M40_D10_Gon_Fat","M40","D10","gon","gon. fat"
"13",5436461,4076087,1360374,0,"M16_D6_blood","M16","D6","blood","blood"
"14",5153532,944964,4208568,0,"M13_D6_Gon_Fat","M13","D6","gon","gon. fat"
"15",6377516,4463554,1913289,673,"M23_D10_Gon_Fat","M23","D10","gon","gon. fat"
"16",3750261,1737865,1817641,194755,"M23_D10_Heart","M23","D10","heart","heart"
"17",7283896,3442816,3841080,0,"M42_D10_Brain","M42","D10","brain","brain"
"18",6737424,223600,6513824,0,"M39_D6_Brain","M39","D6","brain","brain"
"19",5228115,2873327,2354788,0,"M16_D6_Ear","M16","D6","ear","skin"
"20",6074443,3179603,2894840,0,"M16_D6_Sub_Cu","M16","D6","sub","s.c. fat"
"21",5806914,3244416,2562498,0,"M16_D6_Gon_Fat","M16","D6","gon","gon. fat"
"22",6610822,4960711,1629126,20985,"M40_D10_Heart","M40","D10","heart","heart"
"23",5821360,3606854,2214506,0,"M13_D6_Ear","M13","D6","ear","skin"
"24",6179147,4367762,1809157,2228,"M15_D10_Sub_Cu","M15","D10","sub","s.c. fat"
"25",7762328,370378,7387486,4464,"M23_D10_Ear","M23","D10","ear","skin"
"26",4655020,2818913,1836090,17,"M42_D10_Lung","M42","D10","lung","lung"
"27",4175429,3426466,748963,0,"M39_D6_blood","M39","D6","blood","blood"
"28",4604230,3857152,746557,521,"M42_D10_blood","M42","D10","blood","blood"
"29",7875839,5834808,2041031,0,"M42_D10_Heart","M42","D10","heart","heart"
"30",6848205,2704096,4144109,0,"M39_D6_Heart","M39","D6","heart","heart"
"31",6294644,5440092,854552,0,"M42_D10_Sub_Cu","M42","D10","sub","s.c. fat"
"32",6812503,3678906,2684032,449565,"M23_D10_Lung","M23","D10","lung","lung"
"33",5315385,3486586,1828799,0,"M45_D6_Ear","M45","D6","ear","skin"
"34",6508411,832411,5676000,0,"M39_D6_Gon_Fat","M39","D6","gon","gon. fat"
"35",3439314,147985,3291277,52,"M23_D10_Brain","M23","D10","brain","brain"
"36",4272487,2819714,1450532,2241,"M40_D10_Lung","M40","D10","lung","lung"
"37",4855879,2642436,2213119,324,"M15_D10_Lung","M15","D10","lung","lung"
"38",7359640,524761,6834878,1,"M40_D10_Brain","M40","D10","brain","brain"
"39",5696891,4268489,1428402,0,"M16_D6_Lung","M16","D6","lung","lung"
"40",5656098,4734088,918548,3462,"M40_D10_blood","M40","D10","blood","blood"
"41",5902498,3814202,2088296,0,"M13_D6_Lung","M13","D6","lung","lung"
"42",5005624,3767282,1238342,0,"M13_D6_Sub_Cu","M13","D6","sub","s.c. fat"
"43",6270718,4396826,1873577,315,"M15_D10_Gon_Fat","M15","D10","gon","gon. fat"
"44",5860578,3758043,2102290,245,"M23_D10_blood","M23","D10","blood","blood"
"45",5423526,2318325,3104304,897,"M39_D6_Sub_Cu","M39","D6","sub","s.c. fat"
"46",7622593,4902511,2720082,0,"M16_D6_Heart","M16","D6","heart","heart"
"47",3765872,1496139,2269733,0,"M39_D6_Ear","M39","D6","ear","skin"
"48",6608764,5485414,1123350,0,"M15_D10_Heart","M15","D10","heart","heart"
"49",4631617,3070011,1561606,0,"M13_D6_blood","M13","D6","blood","blood"
"50",7353089,916301,6436788,0,"M42_D10_Ear","M42","D10","ear","skin"
"51",5561318,2167513,3393802,3,"M45_D6_Gon_Fat","M45","D6","gon","gon. fat"
"52",4064969,2778598,946783,339588,"M23_D10_Sub_Cu","M23","D10","sub","s.c. fat"
"53",6014533,397405,5617128,0,"M13_D6_Brain","M13","D6","brain","brain"
"54",6866759,4502468,2364291,0,"M45_D6_Heart","M45","D6","heart","heart"
"55",6199194,5142392,1056693,109,"M23_D6_blood","M23","D6","blood","blood"
"56",5868386,2029557,3831565,7264,"M15_D10_Ear","M15","D10","ear","skin"
"57",5923695,4717205,1206490,0,"M15_D6_blood","M15","D6","blood","blood"
"58",4837620,3890666,946954,0,"M40_D6_blood","M40","D6","blood","blood"
"59",4848619,3064761,1783296,562,"M42_D10_Gon_Fat","M42","D10","gon","gon. fat"
"60",5094119,3294121,1771038,28960,"M40_D10_Sub_Cu","M40","D10","sub","s.c. fat"
"61",4375960,3244532,1131428,0,"M6_D6_blood","M6","D6","blood","blood"
"62",6563049,161606,6391404,10039,"M4_D10_Heart","M4","D10","heart","heart"
"63",2538638,1907797,630841,0,"M33_D6_blood","M33","D6","blood","blood"
"64",4454942,1065858,3389084,0,"M32_D6_Ear","M32","D6","ear","skin"
