Plate,Well.Location,Sample.Name,Dilution.Factor,OD,Conc,Final_Conc,Conc_mg.ml
1,A01,STD1,2,2.402,25,50,0.00005
1,A02,STD1,2,2.366,25,50,0.00005
1,A03,STD2,4,1.662,12.5,50,0.00005
1,A04,STD2,4,1.541,12.5,50,0.00005
1,A05,STD3,8,0.949,6.25,50,0.00005
1,A06,STD3,8,0.945,6.25,50,0.00005
1,A07,STD4,16,0.543,3.125,50,0.00005
1,A08,STD4,16,0.558,3.125,50,0.00005
1,A09,STD5,32,0.333,1.563,50,0.00005
1,A10,STD5,32,0.3,1.563,50,0.00005
1,A11,STD6,64,0.234,0.781,50,0.00005
1,A12,STD6,64,0.217,0.781,50,0.00005
1,B01,STD7,128,0.122,0.39,50,0.00005
1,B02,STD7,128,0.111,0.39,50,0.00005
1,B03,D0_C2M4_WT,40000,0.852,5.377,430160,0.43016
1,B04,D0_C2M4_WT,40000,0.852,5.377,430160,0.43016
1,B05,D0_C2M4_WT,80000,0.476,2.616,418560,0.41856
1,B06,D0_C2M4_WT,80000,0.458,2.493,398880,0.39888
1,B07,D0_C2M4_WT,160000,0.264,1.208,386560,0.38656
1,B08,D0_C2M4_WT,160000,0.235,1.02,326400,0.3264
1,B09,D6_C2M4_WT,40000,0.897,5.737,458960,0.45896
1,B10,D6_C2M4_WT,40000,0.942,6.105,488400,0.4884
1,B11,D6_C2M4_WT,80000,0.544,3.086,493760,0.49376
1,B12,D6_C2M4_WT,80000,0.504,2.808,449280,0.44928
1,C01,D6_C2M4_WT,160000,0.29,1.377,440640,0.44064
1,C02,D6_C2M4_WT,160000,0.269,1.24,396800,0.3968
1,C03,D10_C2M4_WT,80000,2.132,20.159,3225440,3.22544
1,C04,D10_C2M4_WT,80000,2.114,19.853,3176480,3.17648
1,C05,D10_C2M4_WT,160000,1.249,8.845,2830400,2.8304
1,C06,D10_C2M4_WT,160000,1.168,8.08,2585600,2.5856
1,C07,D10_C2M4_WT,320000,0.69,4.136,2647040,2.64704
1,C08,D10_C2M4_WT,320000,0.667,3.967,2538880,2.53888
1,C09,D14_C2M4_WT,80000,2.11,19.785,3165600,3.1656
1,C10,D14_C2M4_WT,80000,2.205,21.447,3431520,3.43152
1,C11,D14_C2M4_WT,160000,1.273,9.078,2904960,2.90496
1,C12,D14_C2M4_WT,160000,1.288,9.225,2952000,2.952
1,D01,D14_C2M4_WT,320000,0.738,4.495,2876800,2.8768
1,D02,D14_C2M4_WT,320000,0.677,4.04,2585600,2.5856
1,D03,D0_C3M2_WT,40000,1.902,16.54,1323200,1.3232
1,D04,D0_C3M2_WT,40000,1.884,16.282,1302560,1.30256
1,D05,D0_C3M2_WT,80000,1.076,7.249,1159840,1.15984
1,D06,D0_C3M2_WT,80000,1.011,6.685,1069600,1.0696
1,D07,D0_C3M2_WT,160000,0.533,3.009,962880,0.96288
1,D08,D0_C3M2_WT,160000,0.532,3.002,960640,0.96064
1,D09,D6_C3M2_WT,40000,1.376,10.114,809120,0.80912
1,D10,D6_C3M2_WT,40000,1.329,9.634,770720,0.77072
1,D11,D6_C3M2_WT,80000,0.761,4.669,747040,0.74704
1,D12,D6_C3M2_WT,80000,0.767,4.715,754400,0.7544
1,E01,D6_C3M2_WT,160000,0.39,2.035,651200,0.6512
1,E02,D6_C3M2_WT,160000,0.348,1.757,562240,0.56224
1,E03,D10_C3M2_WT,80000,2.217,21.666,3466560,3.46656
1,E04,D10_C3M2_WT,80000,2.194,21.248,3399680,3.39968
1,E05,D10_C3M2_WT,160000,1.217,8.539,2732480,2.73248
1,E06,D10_C3M2_WT,160000,1.277,9.117,2917440,2.91744
1,E07,D10_C3M2_WT,320000,0.712,4.3,2752000,2.752
1,E08,D10_C3M2_WT,320000,0.704,4.24,2713600,2.7136
1,E09,D14_C3M2_WT,80000,2.48,27.068,4330880,4.33088
1,E10,D14_C3M2_WT,80000,2.463,26.68,4268800,4.2688
1,E11,D14_C3M2_WT,160000,1.706,13.89,4444800,4.4448
1,E12,D14_C3M2_WT,160000,1.754,14.507,4642240,4.64224
1,F01,D14_C3M2_WT,320000,0.953,6.196,3965440,3.96544
1,F02,D14_C3M2_WT,320000,0.951,6.18,3955200,3.9552
1,F03,D0_C2M2_muMT,40000,0.018,0,0,0
1,F04,D0_C2M2_muMT,40000,0.015,0,0,0
1,F05,D0_C2M2_muMT,80000,0.018,0,0,0
1,F06,D0_C2M2_muMT,80000,0.012,0,0,0
1,F07,D0_C2M2_muMT,160000,0.009,0,0,0
1,F08,D0_C2M2_muMT,160000,0.027,0,0,0
1,F09,D6_C2M2_muMT,40000,0.026,0,0,0
1,F10,D6_C2M2_muMT,40000,0.047,0,0,0
1,F11,D6_C2M2_muMT,80000,0.042,0,0,0
1,F12,D6_C2M2_muMT,80000,0.041,0,0,0
1,G01,D6_C2M2_muMT,160000,0.032,0,0,0
1,G02,D6_C2M2_muMT,160000,0.019,0,0,0
1,G03,D10_C2M2_muMT,80000,0.018,0,0,0
1,G04,D10_C2M2_muMT,80000,0.011,0,0,0
1,G05,D10_C2M2_muMT,160000,0.008,0,0,0
1,G06,D10_C2M2_muMT,160000,0.011,0,0,0
1,G07,D10_C2M2_muMT,320000,0.016,0,0,0
1,G08,D10_C2M2_muMT,320000,-0.001,0,0,0
1,G09,D14_C2M2_muMT,80000,0.023,0,0,0
1,G10,D14_C2M2_muMT,80000,0.029,0,0,0
1,G11,D14_C2M2_muMT,160000,0.02,0,0,0
1,G12,D14_C2M2_muMT,160000,0.028,0,0,0
1,H01,D14_C2M2_muMT,320000,0.007,0,0,0
1,H02,D14_C2M2_muMT,320000,-0.002,0,0,0
2,A01,STD1,2,2.525,25,50,0.00005
2,A02,STD1,2,2.42,25,50,0.00005
2,A03,STD2,4,1.598,12.5,50,0.00005
2,A04,STD2,4,1.673,12.5,50,0.00005
2,A05,STD3,8,1,6.25,50,0.00005
2,A06,STD3,8,1.033,6.25,50,0.00005
2,A07,STD4,16,0.552,3.125,50,0.00005
2,A08,STD4,16,0.575,3.125,50,0.00005
2,A09,STD5,32,0.328,1.563,50,0.00005
2,A10,STD5,32,0.323,1.563,50,0.00005
2,A11,STD6,64,0.217,0.781,50,0.00005
2,A12,STD6,64,0.218,0.781,50,0.00005
2,B01,STD7,128,0.133,0.39,50,0.00005
2,B02,STD7,128,0.105,0.39,50,0.00005
2,B03,D0_C2M2_AID,40000,1.26,8.527,682160,0.68216
2,B04,D0_C2M2_AID,40000,1.24,8.341,667280,0.66728
2,B05,D0_C2M2_AID,80000,0.651,3.623,579680,0.57968
2,B06,D0_C2M2_AID,80000,0.671,3.762,601920,0.60192
2,B07,D0_C2M2_AID,160000,0.322,1.501,480320,0.48032
2,B08,D0_C2M2_AID,160000,0.332,1.561,499520,0.49952
