mouse,tissue,group,day,Mass (mg),Amount of trizol added (ml) ,Amount extracted (ml),Fraction extracted,RNA Pre Dnase Conc. (ng/ul),Dnase Treatment Date (Only adding 10ug of RNA),uL to add to Dnase rxn,uL of water to add,Dnase dilution,RNA Post Dnase Conc.,cDNA creation ,cDNA diltuion,fraction added to QPCR,fraction represented,multiplier to reprent full sample,parasitemia_count
12,Brain,IV,6,362.9,7,1,0.142857143,4819.7,1/2/20,2.074817935,40.92518207,0.069160598,112.1,0.16,0.227272727,0.04,1.44E-05,69584.41875,
33,Brain,IV,6,315.3,6,1,0.166666667,3394,1/3/20,2.946375958,40.05362404,0.098212532,119.8,0.16,0.227272727,0.04,2.38E-05,42000.75,
27,Brain,IV,6,323.9,6.5,1,0.153846154,3323.6,1/4/20,3.008785654,39.99121435,0.100292855,122.3,0.16,0.227272727,0.04,2.24E-05,44557.0125,
32,Brain,IV,6,391.6,8,1,0.125,1972.8,1/5/20,5.068937551,37.93106245,0.168964585,167,0.16,0.227272727,0.04,3.07E-05,32551.2,
30,Brain,IV,10,332.4,7,1,0.142857143,3034.5,1/13/20,3.295435821,39.70456418,0.109847861,152.5,0.16,0.227272727,0.04,2.28E-05,43810.59375,
36,Brain,IV,10,282.8,6,1,0.166666667,2389.1,1/13/20,4.185676615,38.81432339,0.139522554,166.6,0.16,0.227272727,0.04,3.38E-05,29565.1125,
4,Brain,IV,10,313.4,6,1,0.166666667,3649.8,1/13/20,2.739876158,40.26012384,0.091329205,122.9,0.16,0.227272727,0.04,2.21E-05,45166.275,
6,Brain,IV,10,255.3,5,1,0.2,4157.9,1/13/20,2.405060247,40.59493975,0.080168675,128.9,0.16,0.227272727,0.04,2.33E-05,42878.34375,
12,Ear,IV,6,65,1,1,1,1850.5,1/7/20,5.40394488,37.59605512,0.180131496,153,0.16,0.227272727,0.04,0.000262009,3816.65625,
33,Ear,IV,6,48.6,1,1,1,1132.6,1/7/20,8.829242451,34.17075755,0.294308082,136.7,0.16,0.227272727,0.04,0.000428084,2335.9875,
27,Ear,IV,6,31.2,1,1,1,813.4,1/7/20,12.29407426,30.70592574,0.409802475,138.4,0.16,0.227272727,0.04,0.000596076,1677.6375,
