mouse,space,VSGs,total_vsgs,day,percent_vsgs
m3,tissues only,488,632,Day 14,77.21518987341773
m4,tissues only,488,607,Day 14,80.39538714991762
m1,tissues only,449,578,Day 14,77.68166089965398
m2,tissues only,415,509,Day 14,81.53241650294696
m5,tissues only,353,403,Day 14,87.59305210918114
m1,shared,101,578,Day 14,17.474048442906575
m3,shared,91,632,Day 14,14.39873417721519
m4,shared,84,607,Day 14,13.838550247116968
m2,shared,76,509,Day 14,14.931237721021612
m3,blood only,53,632,Day 14,8.38607594936709
m5,shared,39,403,Day 14,9.67741935483871
m4,blood only,35,607,Day 14,5.766062602965404
m1,blood only,28,578,Day 14,4.844290657439446
m2,blood only,18,509,Day 14,3.536345776031434
m5,blood only,11,403,Day 14,2.729528535980149
