mouse_final,day,day_num,tissue,strain,vsg_count,space,day_num_char
1,D6,6,blood,WT,3,blood,6
1,D6,6,brain,WT,5,tissues,6
1,D6,6,ear,WT,40,tissues,6
1,D6,6,gon,WT,5,tissues,6
1,D6,6,heart,WT,2,tissues,6
1,D6,6,lung,WT,8,tissues,6
1,D6,6,sub,WT,7,tissues,6
10,D6,6,blood,WT,1,blood,6
10,D14,14,blood,WT,73,blood,14
10,D14,14,brain,WT,85,tissues,14
10,D14,14,ear,WT,58,tissues,14
10,D14,14,gon,WT,134,tissues,14
10,D14,14,heart,WT,66,tissues,14
10,D14,14,lung,WT,151,tissues,14
10,D14,14,sub,WT,169,tissues,14
11,D6,6,blood,WT,2,blood,6
11,D14,14,blood,WT,19,blood,14
11,D14,14,ear,WT,15,tissues,14
11,D14,14,gon,WT,11,tissues,14
11,D14,14,heart,WT,73,tissues,14
11,D14,14,lung,WT,23,tissues,14
11,D14,14,sub,WT,22,tissues,14
12,D6,6,blood,WT,3,blood,6
12,D14,14,blood,WT,18,blood,14
12,D14,14,brain,WT,102,tissues,14
12,D14,14,ear,WT,96,tissues,14
12,D14,14,gon,WT,112,tissues,14
12,D14,14,heart,WT,146,tissues,14
12,D14,14,lung,WT,45,tissues,14
12,D14,14,sub,WT,17,tissues,14
2,D6,6,blood,WT,3,blood,6
2,D6,6,brain,WT,2,tissues,6
2,D6,6,ear,WT,8,tissues,6
2,D6,6,gon,WT,7,tissues,6
2,D6,6,heart,WT,4,tissues,6
2,D6,6,lung,WT,6,tissues,6
2,D6,6,sub,WT,4,tissues,6
3,D6,6,blood,WT,1,blood,6
3,D6,6,brain,WT,3,tissues,6
3,D6,6,ear,WT,7,tissues,6
3,D6,6,gon,WT,6,tissues,6
3,D6,6,heart,WT,3,tissues,6
3,D6,6,lung,WT,4,tissues,6
3,D6,6,sub,WT,6,tissues,6
4,D6,6,blood,WT,3,blood,6
4,D6,6,brain,WT,3,tissues,6
4,D6,6,ear,WT,10,tissues,6
4,D6,6,gon,WT,5,tissues,6
4,D6,6,heart,WT,3,tissues,6
4,D6,6,lung,WT,8,tissues,6
4,D6,6,sub,WT,9,tissues,6
5,D6,6,blood,WT,1,blood,6
6,D6,6,blood,WT,1,blood,6
7,D6,6,blood,WT,2,blood,6
8,D6,6,blood,WT,2,blood,6
9,D6,6,blood,WT,1,blood,6
9,D14,14,blood,WT,29,blood,14
9,D14,14,brain,WT,141,tissues,14
9,D14,14,ear,WT,105,tissues,14
9,D14,14,gon,WT,116,tissues,14
9,D14,14,heart,WT,163,tissues,14
9,D14,14,lung,WT,73,tissues,14
9,D14,14,sub,WT,109,tissues,14
C3M1_AID,D6,6,blood,AID,4,blood,6
C3M1_AID,D14,14,blood,AID,156,blood,14
C3M1_AID,D14,14,brain,AID,150,tissues,14
C3M1_AID,D14,14,ear,AID,203,tissues,14
C3M1_AID,D14,14,gon,AID,142,tissues,14
C3M1_AID,D14,14,heart,AID,96,tissues,14
C3M1_AID,D14,14,lung,AID,223,tissues,14
C3M1_AID,D14,14,sub,AID,58,tissues,14
m1_AID,D6,6,blood,AID,3,blood,6
m1_AID,D6,6,brain,AID,16,tissues,6
m1_AID,D6,6,gon. fat,AID,5,tissues,6
m1_AID,D6,6,heart,AID,20,tissues,6
m1_AID,D6,6,lung,AID,7,tissues,6
m1_AID,D6,6,s.c. fat,AID,132,tissues,6
m1_AID,D6,6,skin,AID,89,tissues,6
m2_AID,D6,6,blood,AID,4,blood,6
m2_AID,D6,6,brain,AID,28,tissues,6
m2_AID,D6,6,gon. fat,AID,8,tissues,6
m2_AID,D6,6,heart,AID,5,tissues,6
m2_AID,D6,6,lung,AID,5,tissues,6
m2_AID,D6,6,s.c. fat,AID,4,tissues,6
m2_AID,D6,6,skin,AID,14,tissues,6
m3_AID,D6,6,blood,AID,2,blood,6
m3_AID,D14,14,blood,AID,183,blood,14
m3_AID,D14,14,brain,AID,83,tissues,14
m3_AID,D14,14,gon. fat,AID,117,tissues,14
m3_AID,D14,14,heart,AID,118,tissues,14
m3_AID,D14,14,lung,AID,239,tissues,14
m3_AID,D14,14,s.c. fat,AID,208,tissues,14
m4_AID,D6,6,blood,AID,2,blood,6
m4_AID,D14,14,blood,AID,123,blood,14
m4_AID,D14,14,brain,AID,129,tissues,14
m4_AID,D14,14,gon. fat,AID,151,tissues,14
m4_AID,D14,14,heart,AID,96,tissues,14
m4_AID,D14,14,lung,AID,231,tissues,14
m4_AID,D14,14,s.c. fat,AID,230,tissues,14
m4_AID,D14,14,skin,AID,86,tissues,14
