mouse,day,tissue,total_parasites_in_sample,total_vsgs
M12,D6,ear,84065.7079787388,40
M12,D6,gon,74165.9854463772,5
M12,D6,heart,81631.0820128119,2
M12,D6,lung,112534.373211493,8
M12,D6,sub,58285.3031826761,7
M2,D6,blood,945437.374163333,1
M2,D10,blood,5618.72500683453,32
M2,D14,blood,181012.705549644,29
M2,D14,brain,71917.4725616074,141
M2,D14,ear,46947.9362320309,105
M2,D14,gon,2257623.28859431,116
M2,D14,heart,1802462.12590832,163
M2,D14,lung,7007141.12444377,73
M2,D14,sub,2598784.23940178,109
M27,D6,blood,20078441.1759439,3
M27,D6,brain,564100.066432353,2
M27,D6,ear,24505.0628885817,8
M27,D6,gon,25639.0714618531,7
M27,D6,heart,599623.870472875,4
M27,D6,lung,2886832.58437241,6
M27,D6,sub,60330.7271728028,4
M3,D6,blood,2811775.6489585,3
M3,D10,blood,36462.5952411015,11
M3,D14,blood,52708.6463629782,18
M3,D14,brain,121412.926251314,102
M3,D14,ear,7318.19353587346,96
M3,D14,gon,1788126.71945089,112
M3,D14,heart,17739.0377096696,146
M3,D14,lung,1640315.96816766,45
M3,D14,sub,929011.4740251,17
M30,D6,blood,9855301.73958836,1
M30,D10,ear,1611.92460528912,93
M30,D10,gon,50448.9313200297,154
M30,D10,heart,132920.877627164,198
M30,D10,lung,930061.726668881,305
M30,D10,sub,9127.62560299358,219
M32,D6,blood,11740195.5396015,1
M32,D6,brain,211020.67585835,3
M32,D6,ear,230907.645083184,7
M32,D6,gon,13651.071581505,6
M32,D6,heart,661426.154579618,3
M32,D6,lung,1219109.96253125,4
M32,D6,sub,78497.8904843484,6
M33,D6,blood,11934840.6511322,3
M33,D6,ear,19215.074438718,10
M33,D6,gon,23063.9926305697,5
M33,D6,heart,161081.608387657,3
M33,D6,lung,626985.822378949,8
M33,D6,sub,48994.2862736028,9
M34,D6,blood,3123085.06500635,1
M34,D10,blood,17121.8778832218,42
M34,D14,blood,261424.800981364,73
M34,D14,brain,633944.843461298,85
M34,D14,ear,6205.45597487237,58
M34,D14,gon,1784562.46567791,134
M34,D14,heart,19516675.9611233,66
M34,D14,lung,4123751.85496858,151
M34,D14,sub,27425.8820669906,169
M35,D6,blood,1615805.25477408,2
M35,D14,blood,14679.2860193766,19
M35,D14,ear,23292.4253273873,15
M35,D14,gon,261274.312737083,11
M35,D14,heart,39417.6448627665,73
M35,D14,lung,2176019.89336249,23
M35,D14,sub,39245.2380276849,22
M36,D6,blood,5893924.08439148,1
M36,D10,blood,287.859560929861,44
M36,D10,brain,164506.355078189,46
M36,D10,ear,19243.2820844604,114
M36,D10,gon,58471.6808943664,156
M36,D10,heart,172631.21987756,214
M36,D10,lung,1297354.81507113,234
M36,D10,sub,73618.5325303984,254
M4,D6,blood,4808028.52631563,2
M4,D10,blood,768922.940151363,11
M4,D10,ear,5984.08130029032,80
M4,D10,gon,3641.94547054162,50
M4,D10,heart,110295.874072042,115
M4,D10,lung,3813347.64062325,48
M4,D10,sub,646888.386725417,56
M6,D6,blood,3982523.0661821,2
M6,D10,blood,161991.966578031,25
M6,D10,ear,44450.3653167169,123
M6,D10,gon,7245.01934972908,134
M6,D10,lung,418626.812277495,135
M6,D10,sub,1009348.65446926,68
