cell,mouse,source,number_of_VSGs
A10_Mix_random_R1,invitro,mix,6
A10_Mix_random_R2,invitro,mix,2
A11_Mix_random_R1,invitro,mix,9
A11_Mix_random_R2,invitro,mix,2
A12_Mix_random_R1,invitro,mix,5
A12_Mix_random_R2,invitro,mix,5
A12_mouse1_fat,mouse1,fat,1
A13_Mix_random_R2,invitro,mix,2
A14_Lung_R2,mouse1,lung,1
A14_Mix_random_R1,invitro,mix,3
A14_Mix_random_R2,invitro,mix,4
A15_Lung_R2,mouse1,lung,3
A15_Mix_random_R2,invitro,mix,4
A16_Mix_random_R2,invitro,mix,3
A16_mouse2_blood,mouse2,blood,3
A16_mouse2_fat,mouse2,fat,2
A17_Mix_random_R1,invitro,mix,3
A17_Mix_random_R2,invitro,mix,5
A17_mouse1_fat,mouse1,fat,5
A17_mouse2_blood,mouse2,blood,4
A17_mouse2_heart,mouse2,heart,7
A18_mouse2_blood,mouse2,blood,6
A19_Lung_R2,mouse1,lung,3
A19_mouse2_heart,mouse2,heart,3
A1_Lung_R2,mouse1,lung,3
A1_mouse2_heart,mouse2,heart,2
A20_Lung_R2,mouse1,lung,3
A20_mouse2_blood,mouse2,blood,8
A20_mouse2_fat,mouse2,fat,6
A21_Lung_R2,mouse1,lung,3
A21_Mix_random_R1,invitro,mix,3
A21_Mix_random_R2,invitro,mix,2
A21_mouse1_heart,mouse1,heart,6
A21_mouse2_blood,mouse2,blood,4
A21_mouse2_fat,mouse2,fat,2
A21_mouse2_heart,mouse2,heart,3
A22_Mix_random_R1,invitro,mix,4
A22_Mix_random_R2,invitro,mix,6
A22_mouse1_fat,mouse1,fat,1
A22_mouse1_heart,mouse1,heart,1
A22_mouse2_fat,mouse2,fat,4
A23_Mix_random_R1,invitro,mix,5
A23_Mix_random_R2,invitro,mix,4
A23_mouse1_fat,mouse1,fat,4
A23_mouse1_heart,mouse1,heart,11
A23_mouse2_blood,mouse2,blood,4
A23_mouse2_heart,mouse2,heart,4
A24_Mix_random_R1,invitro,mix,6
A24_Mix_random_R2,invitro,mix,4
A24_mouse1_blood,mouse1,blood,2
A24_mouse1_heart,mouse1,heart,6
A24_mouse2_blood,mouse2,blood,7
A24_mouse2_heart,mouse2,heart,4
A24_mouse2_lung,mouse2,lung,1
A2_mouse1_blood,mouse1,blood,6
A2_mouse2_heart,mouse2,heart,5
A3_mouse1_blood,mouse1,blood,3
A3_mouse1_fat,mouse1,fat,6
A4_mouse1_fat,mouse1,fat,6
A4_mouse2_fat,mouse2,fat,5
A5_mouse1_blood,mouse1,blood,1
A6_Lung_R2,mouse1,lung,2
A6_mouse1_blood,mouse1,blood,3
A6_mouse1_fat,mouse1,fat,10
A6_mouse2_fat,mouse2,fat,5
A7_mouse2_fat,mouse2,fat,4
