vsg,cell,well,source,Percent,read_count,sort,experiment,mouse,VSG_ID,total_vsg_umi_count
Tb1125.VSG.17230,E18_Lung_R2,E18,lung,0.9883720930232558,85,tdTom,exp1,mouse1,Tbb1125VSG-34,86
Tb1125.VSG.17230,N14_Lung_R2,N14,lung,0.9871794871794872,385,tdTom,exp1,mouse1,Tbb1125VSG-34,390
Tb1125.VSG.14310,A14_Lung_R2,A14,lung,1,48,tdTom,exp1,mouse1,Tbb1125VSG-43,48
Tb1125.VSG.14310,G12_Lung_R2,G12,lung,0.9142857142857144,32,tdTom,exp1,mouse1,Tbb1125VSG-43,35
Tb1125.VSG.14310,I11_Lung_R2,I11,lung,0.8913043478260869,82,tdTom,exp1,mouse1,Tbb1125VSG-43,92
Tb1125.VSG.14310,I15_Lung_R2,I15,lung,1,42,tdTom,exp1,mouse1,Tbb1125VSG-43,42
Tb1125.VSG.14310,K12_Lung_R2,K12,lung,0.8452380952380952,71,tdTom,exp1,mouse1,Tbb1125VSG-43,84
Tb1125.VSG.14310,O15_Lung_R2,O15,lung,0.9607843137254902,49,tdTom,exp1,mouse1,Tbb1125VSG-43,51
Tb1125.VSG.23420,E16_Lung_R2,E16,lung,0.918918918918919,68,tdTom,exp1,mouse1,Tbb1125VSG-54,74
Tb1125.VSG.20730,A1_Lung_R2,A1,lung,0.7738095238095238,65,tdTom,exp1,mouse1,Tbb1125VSG-60,84
Tb1125.VSG.20730,A6_Lung_R2,A6,lung,0.4642857142857143,13,tdTom,exp1,mouse1,Tbb1125VSG-60,28
Tb1125.VSG.20730,A15_Lung_R2,A15,lung,0.8311688311688312,64,tdTom,exp1,mouse1,Tbb1125VSG-60,77
Tb1125.VSG.20730,A19_Lung_R2,A19,lung,0.6549707602339181,112,tdTom,exp1,mouse1,Tbb1125VSG-60,171
Tb1125.VSG.20730,A20_Lung_R2,A20,lung,0.8135593220338984,48,tdTom,exp1,mouse1,Tbb1125VSG-60,59
Tb1125.VSG.20730,A21_Lung_R2,A21,lung,0.6590909090909091,58,tdTom,exp1,mouse1,Tbb1125VSG-60,88
Tb1125.VSG.20730,B11_Lung_R2,B11,lung,0.75,63,tdTom,exp1,mouse1,Tbb1125VSG-60,84
Tb1125.VSG.20730,B19_Lung_R2,B19,lung,0.4745762711864407,28,tdTom,exp1,mouse1,Tbb1125VSG-60,59
Tb1125.VSG.20730,B23_Lung_R2,B23,lung,0.7698412698412699,97,tdTom,exp1,mouse1,Tbb1125VSG-60,126
Tb1125.VSG.20730,D8_Lung_R2,D8,lung,0.8494623655913979,79,tdTom,exp1,mouse1,Tbb1125VSG-60,93
Tb1125.VSG.20730,E10_Lung_R2,E10,lung,0.5670103092783505,55,tdTom,exp1,mouse1,Tbb1125VSG-60,97
Tb1125.VSG.20730,E12_Lung_R2,E12,lung,0.62882096069869,144,tdTom,exp1,mouse1,Tbb1125VSG-60,229
Tb1125.VSG.20730,E14_Lung_R2,E14,lung,0.6571428571428571,69,tdTom,exp1,mouse1,Tbb1125VSG-60,105
Tb1125.VSG.20730,E15_Lung_R2,E15,lung,0.6855345911949685,109,tdTom,exp1,mouse1,Tbb1125VSG-60,159
Tb1125.VSG.20730,E17_Lung_R2,E17,lung,0.6666666666666666,42,tdTom,exp1,mouse1,Tbb1125VSG-60,63
Tb1125.VSG.20730,E19_Lung_R2,E19,lung,0.5128205128205128,20,tdTom,exp1,mouse1,Tbb1125VSG-60,39
Tb1125.VSG.20730,E20_Lung_R2,E20,lung,0.6312056737588653,178,tdTom,exp1,mouse1,Tbb1125VSG-60,282
Tb1125.VSG.20730,E21_Lung_R2,E21,lung,0.6153846153846154,88,tdTom,exp1,mouse1,Tbb1125VSG-60,143
Tb1125.VSG.20730,E24_Lung_R2,E24,lung,0.7614678899082569,166,tdTom,exp1,mouse1,Tbb1125VSG-60,218
