cellid,cell,source,mouse,sort,assembled_vsgs,number_of_VSGs,cell_description
mouse1_lung_singleCell_A14_Lung_R2,A14_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_A15_Lung_R2,A15_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_A19_Lung_R2,A19_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_A20_Lung_R2,A20_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_A21_Lung_R2,A21_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_B11_Lung_R2,B11_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_B19_Lung_R2,B19_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_B23_Lung_R2,B23_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_D8_Lung_R2,D8_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_E10_Lung_R2,E10_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_E12_Lung_R2,E12_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_E14_Lung_R2,E14_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_E15_Lung_R2,E15_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_E16_Lung_R2,E16_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_E17_Lung_R2,E17_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_E18_Lung_R2,E18_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_E19_Lung_R2,E19_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_E20_Lung_R2,E20_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_E21_Lung_R2,E21_Lung_R2,lung,mouse1,tdTom,1,5,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_E23_Lung_R2,E23_Lung_R2,lung,mouse1,tdTom,1,5,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_E24_Lung_R2,E24_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_F10_Lung_R2,F10_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_F12_Lung_R2,F12_Lung_R2,lung,mouse1,tdTom,1,5,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_F14_Lung_R2,F14_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_F15_Lung_R2,F15_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_F17_Lung_R2,F17_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_F19_Lung_R2,F19_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_F20_Lung_R2,F20_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_F21_Lung_R2,F21_Lung_R2,lung,mouse1,tdTom,1,5,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_F23_Lung_R2,F23_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_F24_Lung_R2,F24_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_G10_Lung_R2,G10_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_G11_Lung_R2,G11_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_G12_Lung_R2,G12_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_G14_Lung_R2,G14_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_G16_Lung_R2,G16_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_G19_Lung_R2,G19_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_G20_Lung_R2,G20_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_G21_Lung_R2,G21_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_G22_Lung_R2,G22_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_G23_Lung_R2,G23_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_G3_Lung_R2,G3_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_H11_Lung_R2,H11_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_H14_Lung_R2,H14_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_H19_Lung_R2,H19_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_H21_Lung_R2,H21_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_H22_Lung_R2,H22_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_H9_Lung_R2,H9_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_I10_Lung_R2,I10_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_I11_Lung_R2,I11_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_I14_Lung_R2,I14_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_I15_Lung_R2,I15_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_I17_Lung_R2,I17_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_I18_Lung_R2,I18_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_I19_Lung_R2,I19_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_I20_Lung_R2,I20_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_I4_Lung_R2,I4_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_I6_Lung_R2,I6_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_I8_Lung_R2,I8_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_I9_Lung_R2,I9_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_J11_Lung_R2,J11_Lung_R2,lung,mouse1,tdTom,1,5,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_J12_Lung_R2,J12_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_J13_Lung_R2,J13_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_J19_Lung_R2,J19_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_J5_Lung_R2,J5_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_J6_Lung_R2,J6_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_J8_Lung_R2,J8_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_J9_Lung_R2,J9_Lung_R2,lung,mouse1,tdTom,1,5,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K10_Lung_R2,K10_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K13_Lung_R2,K13_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K14_Lung_R2,K14_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K17_Lung_R2,K17_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K18_Lung_R2,K18_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K19_Lung_R2,K19_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K1_Lung_R2,K1_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K20_Lung_R2,K20_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K21_Lung_R2,K21_Lung_R2,lung,mouse1,tdTom,1,5,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K23_Lung_R2,K23_Lung_R2,lung,mouse1,tdTom,1,5,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K24_Lung_R2,K24_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K2_Lung_R2,K2_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K3_Lung_R2,K3_Lung_R2,lung,mouse1,tdTom,1,6,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K4_Lung_R2,K4_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K5_Lung_R2,K5_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K6_Lung_R2,K6_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K7_Lung_R2,K7_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K8_Lung_R2,K8_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_K9_Lung_R2,K9_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_L11_Lung_R2,L11_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_L12_Lung_R2,L12_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_L13_Lung_R2,L13_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_L17_Lung_R2,L17_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_L20_Lung_R2,L20_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_L21_Lung_R2,L21_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_L2_Lung_R2,L2_Lung_R2,lung,mouse1,tdTom,1,3,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_L3_Lung_R2,L3_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_L5_Lung_R2,L5_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_L7_Lung_R2,L7_Lung_R2,lung,mouse1,tdTom,1,5,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_L8_Lung_R2,L8_Lung_R2,lung,mouse1,tdTom,1,6,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_L9_Lung_R2,L9_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_M10_Lung_R2,M10_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_M15_Lung_R2,M15_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_M5_Lung_R2,M5_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_M6_Lung_R2,M6_Lung_R2,lung,mouse1,tdTom,1,5,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_M7_Lung_R2,M7_Lung_R2,lung,mouse1,tdTom,1,2,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_M9_Lung_R2,M9_Lung_R2,lung,mouse1,tdTom,1,4,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_N14_Lung_R2,N14_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_N17_Lung_R2,N17_Lung_R2,lung,mouse1,tdTom,1,5,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_N3_Lung_R2,N3_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_N5_Lung_R2,N5_Lung_R2,lung,mouse1,tdTom,1,6,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_N6_Lung_R2,N6_Lung_R2,lung,mouse1,tdTom,1,6,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_N7_Lung_R2,N7_Lung_R2,lung,mouse1,tdTom,1,8,">1 VSGs by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_N8_Lung_R2,N8_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_O14_Lung_R2,O14_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
mouse1_lung_singleCell_P6_Lung_R2,P6_Lung_R2,lung,mouse1,tdTom,1,1,"1 VSG by alignment, 1 VSG detected de novo"
