mouse,cluster,mouse_final,samplename,day,day_num,tissue,VSG,Percent,RPKM,hit_VSG,pct_id_vs_query,pct_id_vs_match,match_VSG_length,assembled_VSG_length,strain,mode,tissue_final,day_num_char,space
M12,Cluster 1831,1,M12_D6_Ear,D6,6,ear,TRINITY_DN9_c0_g1_i4_1_1620_3012_M12_D6_Ear,0.186300853426,1258.48251131,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,skin,6,tissues
M12,Cluster 1831,1,M12_D6_Gon_Fat,D6,6,gon,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,gon. fat,6,tissues
M12,Cluster 1831,1,M12_D6_Brain,D6,6,brain,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,brain,6,tissues
M12,Cluster 1831,1,M12_D6_Lung,D6,6,lung,TRINITY_DN109_c0_g1_i1_1_68_1460_M12_D6_Lung,0.044536269608500004,293.084444776,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.6637931034,72.1343873518,1518,1392,WT,IV,lung,6,tissues
M12,Cluster 1831,1,M12_D6_Sub_Cu,D6,6,sub,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,s.c. fat,6,tissues
M12,Cluster 1831,1,M12_D6_blood,D6,6,blood,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,blood,6,blood
M12,Cluster 1831,1,M12_D6_Heart,D6,6,heart,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,heart,6,tissues
M12,Cluster 294,1,M12_D6_Ear,D6,6,ear,TRINITY_DN154_c0_g1_i1_2_0_1313_RC_M12_D6_Ear,1.0693923856199998,7256.05472217,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8575780655,85.0032743942,1527,1313,WT,IV,skin,6,tissues
M12,Cluster 294,1,M12_D6_blood,D6,6,blood,TRINITY_DN682_c0_g1_i1_1_1_1307_RC_M12_D6_blood,0.001,16.3966496546,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.7748851455,84.4793713163,1527,1306,WT,IV,blood,6,blood
M12,Cluster 294,1,M12_D6_Brain,D6,6,brain,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,brain,6,tissues
M12,Cluster 294,1,M12_D6_Gon_Fat,D6,6,gon,TRINITY_DN105_c0_g1_i1_1_1436_2772_M12_D6_Gon_Fat,6.4073639597600005,43342.9738715,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.877245509,86.5094957433,1527,1336,WT,IV,gon. fat,6,tissues
M12,Cluster 294,1,M12_D6_Lung,D6,6,lung,TRINITY_DN69_c0_g1_i1_2_0_1336_RC_M12_D6_Lung,3.17011106693,21334.3303374,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.877245509,86.5094957433,1527,1336,WT,IV,lung,6,tissues
M12,Cluster 294,1,M12_D6_Sub_Cu,D6,6,sub,TRINITY_DN207_c0_g1_i1_1_85_1400_M12_D6_Sub_Cu,0.0434662171419,265.344357993,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8593155894,85.1342501637,1527,1315,WT,IV,s.c. fat,6,tissues
M12,Cluster 294,1,M12_D6_Heart,D6,6,heart,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,heart,6,tissues
M12,Cluster 504,1,M12_D6_Brain,D6,6,brain,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,brain,6,tissues
M12,Cluster 504,1,M12_D6_Sub_Cu,D6,6,sub,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,s.c. fat,6,tissues
M12,Cluster 504,1,M12_D6_Ear,D6,6,ear,TRINITY_DN5_c0_g2_i1_1_165_1662_M12_D6_Ear,1.34936199947,9157.48613069,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,100,1497,1497,WT,IV,skin,6,tissues
M12,Cluster 504,1,M12_D6_Lung,D6,6,lung,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,lung,6,tissues
M12,Cluster 504,1,M12_D6_blood,D6,6,blood,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,blood,6,blood
M12,Cluster 504,1,M12_D6_Heart,D6,6,heart,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,heart,6,tissues
M12,Cluster 504,1,M12_D6_Gon_Fat,D6,6,gon,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,gon. fat,6,tissues
M2,Cluster 1831,9,M2_D14_Heart_R1.fastq,D14,14,heart,TRINITY_DN1_c0_g2_i4_1_96_1488_M2_D14_Heart_R1,2.05107015138,15397.2336905,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,heart,14,tissues
M2,Cluster 1831,9,M2_D14_Lung_R1.fastq,D14,14,lung,TRINITY_DN3_c0_g2_i1_1_98_1490_M2_D14_Lung_R1,5.70229253822,44232.9659773,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.6637931034,72.1343873518,1518,1392,WT,IV,lung,14,tissues
