mouse,cluster,samplename,day,day_num,tissue,VSG,Percent,RPKM,hit_VSG,pct_id_vs_query,pct_id_vs_match,match_VSG_length,assembled_VSG_length,strain,experiment,tissue_final,mouse_final,space,strain_space,day_num_char
C3M1,Cluster 56,C3M1_D14_brain_R1.fastq,D14,14,brain,TRINITY_DN372_c0_g1_i1_1_93_1605_C3M1_D14_brain_R1,86.9737763878,606420.817647,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,AID,1,brain,C3M1_AID,tissues,AID tissues,14
C3M1,Cluster 56,C3M1_D14_subcu_R1.fastq,D14,14,sub,TRINITY_DN0_c4_g1_i1_1_80_1592_C3M1_D14_subcu_R1,96.7248290911,658444.539041,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,AID,1,s.c. fat,C3M1_AID,tissues,AID tissues,14
C3M1,Cluster 56,C3M1_D14_gonfat_R1.fastq,D14,14,gon,TRINITY_DN1_c0_g1_i1_1_80_1592_C3M1_D14_gonfat_R1,21.0858393376,157340.237169,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,AID,1,gon. fat,C3M1_AID,tissues,AID tissues,14
C3M1,Cluster 56,C3M1_D14_blood_R1.fastq,D14,14,blood,TRINITY_DN4_c0_g2_i1_1_104_1616_RC_C3M1_D14_blood_R1,3.47848656487,29511.6921474,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,AID,1,blood,C3M1_AID,blood,AID blood,14
C3M1,Cluster 56,C3M1_D6_blood_R1.fastq,D6,6,blood,TRINITY_DN0_c0_g1_i1_1_80_1592_C3M1_D6_blood_R1,99.90673119670001,669241.877372,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,AID,1,blood,C3M1_AID,blood,AID blood,6
C3M1,Cluster 56,C3M1_D14_lungs_R1.fastq,D14,14,lung,NA,0.001,NA,NA,NA,NA,NA,NA,AID,NA,lung,NA,tissues,AID tissues,14
C3M1,Cluster 56,C3M1_D14_ear_R1.fastq,D14,14,ear,TRINITY_DN253_c0_g2_i1_1_53_1670_C3M1_D14_ear_R1,48.768299629699996,340923.563286,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,81.6326530612,86.7850098619,1521,1617,AID,1,skin,C3M1_AID,tissues,AID tissues,14
C3M1,Cluster 56,C3M1_D14_heart_R1.fastq,D14,14,heart,TRINITY_DN0_c1_g1_i1_1_80_1592_C3M1_D14_heart_R1,51.3838543117,359121.953766,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,AID,1,heart,C3M1_AID,tissues,AID tissues,14
m1,Cluster 163,m1_d6_heart_S7_L001_R1_001.fastq,D6,6,heart,TRINITY_DN0_c0_g1_i1_1_1718_3230_m1_d6_heart_S7_L001_R1_001,54.487793374,382865.137112,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.78500986190001,1521,1512,AID,2,heart,m1_AID,tissues,AID tissues,6
m1,Cluster 163,m1_d6_blood_S12_L001_R1_001.fastq,D6,6,blood,TRINITY_DN1_c0_g1_i1_1_76_1588_RC_m1_d6_blood_S12_L001_R1_001,55.35460926779999,384561.306551,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.78500986190001,1521,1512,AID,2,blood,m1_AID,blood,AID blood,6
