file	mouse	day	tissue	VSG	Percent	RPKM	hit_VSG	pct_id_vs_query	pct_id_vs_match	match_VSG_length	assembled_VSG_length
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN1_c0_g1_i4_1_1831_3286_Undetermined_S0_L001_R1_001	18.4867261974	151952.126384	gnl|BL_ORD_ID|3923 Tbb1125VSG-2018 : Complete : 1455nt : contig PacBio-2391	99.0378006873	99.0378006873	1455	1455
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN646_c0_g1_i1_1_0_923_RC_Undetermined_S0_L001_R1_001	0.00139820824918	11.4926090386	gnl|BL_ORD_ID|239 Tb427VSG-518 : GB Accession KC613646 : 1482nt : Complete : contig1423.	99.7833152763	62.1457489879	1482	923
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN172_c0_g1_i71_1_0_1357_RC_Undetermined_S0_L001_R1_001	0.00338058077474	27.7867715273	gnl|BL_ORD_ID|5278 Tbb1125VSG-4840 : Internal partial : 1347nt : contig PacBio-142	86.9565217391	87.6020786934	1347	1357
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN314_c0_g1_i6_1_0_1166_RC_Undetermined_S0_L001_R1_001	0.000610271825604	5.01614512935	gnl|BL_ORD_ID|2770 Tbb1125VSG-209 : Complete : 1530nt : contig PacBio-2391	87.7358490566	66.862745098	1530	1166
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN112_c0_g1_i1_1_2_1405_RC_Undetermined_S0_L001_R1_001	0.0307533240603	252.777746284	gnl|BL_ORD_ID|4797 Tbb1125VSG-4070 : Complete : 1575nt : contig PacBio-2390	100.0	89.0793650794	1575	1403
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN165_c0_g2_i1_1_1_1470_RC_Undetermined_S0_L001_R1_001	0.00177267760231	14.5705696177	gnl|BL_ORD_ID|622 Tb427VSG-1078 : GB Accession KC612587 : 1458nt : N-terminus partial : contig3450.	92.6480599047	93.3470507545	1458	1469
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN24_c0_g1_i32_1_1_1322_RC_Undetermined_S0_L001_R1_001	0.0714464093992	587.255618695	gnl|BL_ORD_ID|801 Tb427VSG-1261 : GB Accession KC611608 : 1362nt : Internal partial : contig1503.	78.5011355034	76.1380323054	1362	1321
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN424_c0_g1_i1_1_235_1150_RC_Undetermined_S0_L001_R1_001	0.0097195281452	79.8899141655	gnl|BL_ORD_ID|952 Tb427VSG-1415 : GB Accession KC612915 : 1230nt : N-terminus partial : contig6971.	85.1366120219	63.3333333333	1230	915
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN78_c0_g1_i9_1_35_1415_Undetermined_S0_L001_R1_001	0.0136003882445	111.788744602	gnl|BL_ORD_ID|4864 Tbb1125VSG-4137 : N-terminus partial : 1440nt : contig PacBio-2451	94.5652173913	90.625	1440	1380
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN108_c0_g1_i1_1_63_1515_Undetermined_S0_L001_R1_001	0.0180187929455	148.10593686	gnl|BL_ORD_ID|3949 Tbb1125VSG-2047 : C-terminus partial : 1284nt : contig PacBio-2391	72.8650137741	82.3987538941	1284	1452
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN81_c0_g1_i4_1_49_983_Undetermined_S0_L001_R1_001	0.0115745902009	95.1376449391	gnl|BL_ORD_ID|1996 Tb427VSG-3205 : GB Accession KC611817 : 1137nt : Internal partial : contig5298.	52.7837259101	43.3597185576	1137	934
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN121_c0_g1_i24_1_86_1031_Undetermined_S0_L001_R1_001	0.00327485990711	26.9177961085	gnl|BL_ORD_ID|32 Tb427VSG-309 : GB Accession KC613458 : 1530nt : Complete : contig5430.	93.1216931217	57.5163398693	1530	945
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN540_c0_g1_i1_1_70_1467_Undetermined_S0_L001_R1_001	0.0232007002902	190.698758939	gnl|BL_ORD_ID|3085 Tbb1125VSG-540 : Complete but extended : 1485nt : contig PacBio-192	95.7050823193	90.0336700337	1485	1397
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN58_c1_g1_i12_1_18_1476_RC_Undetermined_S0_L001_R1_001	0.0110809326497	91.0800138685	gnl|BL_ORD_ID|4595 Tbb1125VSG-3053 : Internal partial : 1590nt : contig PacBio-107	77.5034293553	71.0691823899	1590	1458
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN85_c0_g1_i1_1_372_1016_Undetermined_S0_L001_R1_001	0.00305756527087	25.1317371992	gnl|BL_ORD_ID|1136 Tb427VSG-1613 : GB Accession KC613102 : 1041nt : N-terminus partial : contig3979.	72.2049689441	44.6685878963	1041	644
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN37_c0_g1_i6_1_1_928_Undetermined_S0_L001_R1_001	0.00430266166888	35.3658393982	gnl|BL_ORD_ID|2906 Tbb1125VSG-348 : Complete : 1461nt : contig PacBio-93	91.2621359223	57.9055441478	1461	927
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN179_c0_g1_i1_1_85_1439_Undetermined_S0_L001_R1_001	0.033197012928	272.863710434	gnl|BL_ORD_ID|119 Tb427VSG-397 : GB Accession KC613538 : 1551nt : Complete : contig1211.	7.01624815362	6.12508059317	1551	1354
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN444_c0_g1_i1_1_71_1479_Undetermined_S0_L001_R1_001	0.00633843641095	52.0989427932	gnl|BL_ORD_ID|3844 Tbb1125VSG-1717 : N-terminus partial : 1443nt : contig PacBio-2411	24.21875	23.6313236313	1443	1408
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN57_c0_g1_i1_1_65_1364_Undetermined_S0_L001_R1_001	0.214845185063	1765.92558169	gnl|BL_ORD_ID|5553 Tbb1125VSG-5138 : Internal partial : 1119nt : contig PacBio-2602	12.8560431101	14.9240393208	1119	1299
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN499_c0_g1_i1_1_1_1319_RC_Undetermined_S0_L001_R1_001	0.00286162612012	23.5212102578	gnl|BL_ORD_ID|3095 Tbb1125VSG-1008 : N-terminus partial : 1599nt : contig PacBio-2391	99.1654021244	81.7385866166	1599	1318
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN0_c0_g1_i1_1_74_1574_Undetermined_S0_L001_R1_001	2.11320742325	17369.5633301	gnl|BL_ORD_ID|3509 Tbb1125VSG-1395 : N-terminus partial : 1116nt : contig PacBio-103	64.9333333333	87.2759856631	1116	1500
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN300_c0_g1_i1_1_1_999_RC_Undetermined_S0_L001_R1_001	0.0062446753449	51.3282712743	gnl|BL_ORD_ID|5313 Tbb1125VSG-4874 : Internal partial : 1317nt : contig PacBio-2274	87.5751503006	66.3629460896	1317	998
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN80_c0_g1_i19_1_2_1437_RC_Undetermined_S0_L001_R1_001	0.0126902461602	104.307808088	gnl|BL_ORD_ID|4840 Tbb1125VSG-4113 : N-terminus partial : 1542nt : contig PacBio-169	94.6341463415	88.0674448768	1542	1435
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN19_c0_g1_i9_1_2_1270_RC_Undetermined_S0_L001_R1_001	0.00990750167327	81.4349674642	gnl|BL_ORD_ID|924 Tb427VSG-1386 : GB Accession KC612887 : 1257nt : N-terminus partial : contig5674.	91.0883280757	91.8854415274	1257	1268
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN23_c0_g1_i24_1_44_1465_Undetermined_S0_L001_R1_001	0.086851894323	713.88140236	gnl|BL_ORD_ID|699 Tb427VSG-1156 : GB Accession KC612664 : 1410nt : N-terminus partial : contig6655.	94.2294159043	94.9645390071	1410	1421
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN89_c0_g1_i1_1_79_1475_Undetermined_S0_L001_R1_001	0.0604362922784	496.757674907	gnl|BL_ORD_ID|3934 Tbb1125VSG-2031 : Internal partial : 1395nt : contig PacBio-2395	93.1948424069	93.2616487455	1395	1396
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN598_c0_g1_i1_1_128_1100_RC_Undetermined_S0_L001_R1_001	0.00308571748351	25.3631350425	gnl|BL_ORD_ID|5749 Tbb1125VSG-5361 : Internal partial : 972nt : contig PacBio-2363	100.0	100.0	972	972
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN91_c0_g1_i13_1_38_1068_Undetermined_S0_L001_R1_001	0.017736973456	145.789514243	gnl|BL_ORD_ID|663 Tb427VSG-1119 : GB Accession KC612628 : 1437nt : N-terminus partial : contig3332.	94.9514563107	68.0584551148	1437	1030
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN126_c0_g1_i1_1_1_1342_RC_Undetermined_S0_L001_R1_001	0.0239650017148	196.98095436	gnl|BL_ORD_ID|3180 Tbb1125VSG-1086 : N-terminus partial : 1464nt : contig PacBio-2485	91.7225950783	84.0163934426	1464	1341
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN197_c0_g1_i1_1_63_1410_Undetermined_S0_L001_R1_001	0.0293453570305	241.204924694	gnl|BL_ORD_ID|2257 Tb427VSG-3478 : GB Accession KC612080 : 921nt : Internal partial : contig5082.	60.2078693393	88.0564603692	921	1347
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN202_c0_g1_i1_1_200_1572_Undetermined_S0_L001_R1_001	0.0198852347515	163.447203787	gnl|BL_ORD_ID|4045 Tbb1125VSG-2519 : Internal partial : 1446nt : contig PacBio-2361	100.0	94.8824343015	1446	1372
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN134_c0_g1_i4_1_2_1319_RC_Undetermined_S0_L001_R1_001	0.000907131818752	7.45619355736	gnl|BL_ORD_ID|3017 Tbb1125VSG-470 : Complete almost : 1503nt : contig Illumina-6968	83.8268792711	73.5019973369	1502	1317
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN199_c1_g1_i1_1_2_1359_RC_Undetermined_S0_L001_R1_001	0.000870067512931	7.1515425325	gnl|BL_ORD_ID|524 Tb427VSG-804 : GB Accession KC613827 : 1584nt : Complete but extended : contig2330.	99.1893883567	84.9747474747	1584	1357
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN211_c0_g1_i1_1_110_1542_Undetermined_S0_L001_R1_001	0.0149697966543	123.044632612	gnl|BL_ORD_ID|2359 Tb427VSG-3588 : GB Accession KC612182 : 873nt : Internal partial : contig4452.	30.5167597765	50.0572737686	873	1432
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN466_c0_g1_i1_1_1_1338_RC_Undetermined_S0_L001_R1_001	0.00121344609876	9.97395174189	gnl|BL_ORD_ID|4007 Tbb1125VSG-2107 : C-terminus partial : 1290nt : contig PacBio-269	11.8922961855	12.3255813953	1290	1337
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN269_c0_g1_i62_1_0_1001_RC_Undetermined_S0_L001_R1_001	0.00144035946042	11.8390720147	gnl|BL_ORD_ID|651 Tb427VSG-1107 : GB Accession KC612616 : 1440nt : N-terminus partial : contig2580.	89.8101898102	62.4305555556	1440	1001
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN94_c0_g1_i32_1_84_1559_Undetermined_S0_L001_R1_001	0.000591764203711	4.86402125025	gnl|BL_ORD_ID|2831 Tbb1125VSG-275 : Complete : 1494nt : contig PacBio-2391	89.4237288136	88.2864792503	1494	1475
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN169_c0_g1_i16_1_0_945_RC_Undetermined_S0_L001_R1_001	0.00114032442149	9.37292621546	gnl|BL_ORD_ID|4769 Tbb1125VSG-4042 : Complete but extended : 1539nt : contig PacBio-2247	91.3227513228	56.0753736192	1539	945
Undetermined_S0_L001_R1_001.fastq	Undetermined	S0	L001	TRINITY_DN166_c0_g1_i2_1_47_1474_Undetermined_S0_L001_R1_001	0.000548840754346	4.51121084276	gnl|BL_ORD_ID|4982 Tbb1125VSG-4251 : Complete but atypical GPI site : 1470nt : contig PacBio-117	88.9278206027	86.3265306122	1470	1427
