"","samplename","mouse","day","tissue","VSG","Percent","RPKM","hit_VSG","pct_id_vs_query","pct_id_vs_match","match_VSG_length","assembled_VSG_length","strain","mode","experiment"
"1","C3M1_D10_blood_R1.fastq","C3M1","D10","blood","TRINITY_DN31_c0_g1_i1_1_110_1631_C3M1_D10_blood_R1",0.0286033995126,189.947444152,"gnl|BL_ORD_ID|3812 Tbb1125VSG-1686 : Complete : 1566nt : contig PacBio-3049",99.8685075608,96.9987228608,1566,1521,"AID","IV","1"
"2","C3M1_D10_blood_R1.fastq","C3M1","D10","blood","TRINITY_DN109_c0_g1_i1_1_59_1634_C3M1_D10_blood_R1",0.139635341826,927.280559132,"gnl|BL_ORD_ID|2607 Tbb1125VSG-34 : Complete : 1575nt : MC : contig Illumina-822",100,100,1575,1575,"AID","IV","1"
"3","C3M1_D10_blood_R1.fastq","C3M1","D10","blood","TRINITY_DN112_c0_g1_i1_1_0_1455_RC_C3M1_D10_blood_R1",0.00993807941007,65.9960989214,"gnl|BL_ORD_ID|2909 Tbb1125VSG-353 : Complete : 1461nt : contig Illumina-7825",100,99.5893223819,1461,1455,"AID","IV","1"
"4","C3M1_D10_blood_R1.fastq","C3M1","D10","blood","TRINITY_DN13_c0_g1_i1_1_47_1520_C3M1_D10_blood_R1",0.0297514845233,197.57156636,"gnl|BL_ORD_ID|2876 Tbb1125VSG-313 : Complete : 1473nt : contig Illumina-7014",94.9083503055,94.9083503055,1473,1473,"AID","IV","1"
"5","C3M1_D10_blood_R1.fastq","C3M1","D10","blood","TRINITY_DN22_c0_g1_i12_1_24_1392_RC_C3M1_D10_blood_R1",0,0,"gnl|BL_ORD_ID|4996 Tbb1125VSG-4265 : Complete : 1461nt : contig PacBio-2391",94.0058479532,88.0219028063,1461,1368,"AID","IV","1"
"6","C3M1_D10_blood_R1.fastq","C3M1","D10","blood","TRINITY_DN44_c0_g1_i2_1_10_973_C3M1_D10_blood_R1",0.00365467045003,24.2696785358,"gnl|BL_ORD_ID|2787 Tbb1125VSG-228 : Complete : 1515nt : contig Illumina-3226",92.1079958463,58.5478547855,1515,963,"AID","IV","1"
"7","C3M1_D10_blood_R1.fastq","C3M1","D10","blood","TRINITY_DN81_c0_g1_i1_1_37_1456_C3M1_D10_blood_R1",0.00730396178223,48.5036358041,"gnl|BL_ORD_ID|2620 Tbb1125VSG-48 : Complete : 1419nt : MC : contig Illumina-386",92.9527836505,92.9527836505,1419,1419,"AID","IV","1"
"8","C3M1_D10_blood_R1.fastq","C3M1","D10","blood","TRINITY_DN32_c0_g1_i4_1_61_1453_C3M1_D10_blood_R1",0.00350098253372,23.2490786282,"gnl|BL_ORD_ID|3934 Tbb1125VSG-2031 : Internal partial : 1395nt : contig PacBio-2395",93.3908045977,93.1899641577,1395,1392,"AID","IV","1"
"9","C3M1_D10_blood_R1.fastq","C3M1","D10","blood","TRINITY_DN14_c1_g1_i1_1_102_1485_C3M1_D10_blood_R1",0.0434781246026,288.72647257,"gnl|BL_ORD_ID|2977 Tbb1125VSG-430 : Complete : 1383nt : contig PacBio-2363",100,100,1383,1383,"AID","IV","1"
"10","C3M1_D10_blood_R1.fastq","C3M1","D10","blood","TRINITY_DN34_c0_g1_i4_1_1757_3246_C3M1_D10_blood_R1",0.00420566181954,27.9286632779,"gnl|BL_ORD_ID|2641 Tbb1125VSG-73 : Complete : 1497nt : MC : contig Illumina-2710",94.6272666219,94.1215764863,1497,1489,"AID","IV","1"
