Chromosome	Start	End	Strand	Gene_ID	VSG_ID
CM032576.1	59962	61477	-	Tb1125.VSG.00	Tbb1125VSG-228
CM032576.1	90087	91613	-	Tb1125.VSG.10	Tbb1125VSG-211
CM032576.1	1698023	1699089	+	Tb1125.1.5060	Tbb1125VSG-5239
CM032576.1	1711992	1713366	+	Tb1125.1.5170	Tbb1125VSG-432.2
CM032576.1	1725618	1726366	-	Tb1125.VSG.20	Tbb1125VSG-5787.1
CM032576.1	1733581	1734897	-	Tb1125.VSG.30	Tbb1125VSG-2563
CM032576.1	1750103	1751494	-	Tb1125.VSG.40	Tbb1125VSG-1183
CM032576.1	1754402	1755253	-	Tb1125.VSG.50	Tbb1125VSG-2931.1
CM032576.1	1757979	1759331	-	Tb1125.VSG.60	Tbb1125VSG-1231
CM032576.1	1766926	1768482	-	Tb1125.VSG.70	Tbb1125VSG-1025.1
CM032576.1	1778175	1779749	-	Tb1125.VSG.80	Tbb1125VSG-4069
CM032576.1	1782256	1783035	-	Tb1125.VSG.90	Tbb1125VSG-5624.1
CM032576.1	1787756	1789225	-	Tb1125.VSG.100	Tbb1125VSG-492
CM032576.1	1791968	1792807	-	Tb1125.VSG.110	Tbb1125VSG-1559
CM032576.1	1796080	1797243	-	Tb1125.VSG.120	Tbb1125VSG-5082
CM032576.1	1803337	1804119	-	Tb1125.VSG.130	Tbb1125VSG-5697.2
CM032576.1	1806452	1807932	-	Tb1125.VSG.140	Tbb1125VSG-4227.1
CM032576.1	1809805	1811243	-	Tb1125.VSG.150	Tbb1125VSG-3062
CM032576.1	1813495	1814513	-	Tb1125.VSG.160	Tbb1125VSG-2892.1
CM032576.1	1818925	1819905	-	Tb1125.VSG.170	Tbb1125VSG-1482
CM032576.1	1826477	1827550	-	Tb1125.VSG.180	Tbb1125VSG-2733
CM032576.1	1829478	1830569	-	Tb1125.VSG.190	Tbb1125VSG-5170
CM032576.1	1832025	1833410	-	Tb1125.VSG.200	Tbb1125VSG-4764
CM032576.1	1838607	1839548	-	Tb1125.VSG.210	Tbb1125VSG-5407
CM032576.1	1842351	1843481	-	Tb1125.VSG.220	Tbb1125VSG-1384
CM032576.1	1845326	1846441	-	Tb1125.VSG.230	Tbb1125VSG-5144
CM032576.1	1847312	1848794	-	Tb1125.Tb10.v4.0119	Tbb1125VSG-5555
CM032576.1	1852741	1854264	-	Tb1125.Tb10.v4.0104	Tbb1125VSG-217
CM032576.1	1862615	1864086	-	Tb1125.Tb10.v4.0102	Tbb1125VSG-1319
CM032576.1	1865893	1867326	-	Tb1125.VSG.240	Tbb1125VSG-1214
CM032576.1	1869892	1870980	-	Tb1125.VSG.250	Tbb1125VSG-1410
CM032576.1	1873917	1875065	-	Tb1125.VSG.260	Tbb1125VSG-5102
CM032576.1	1884391	1885236	-	Tb1125.VSG.270	Tbb1125VSG-2935
CM032576.1	1886685	1887898	-	Tb1125.Tb11.0280	Tbb1125VSG-1364
CM032576.1	1889921	1891039	-	Tb1125.VSG.280	Tbb1125VSG-5134
CM032576.1	1894360	1895502	-	Tb1125.VSG.290	Tbb1125VSG-2684.1
CM032576.1	1897800	1898942	-	Tb1125.VSG.300	Tbb1125VSG-2684
CM032576.1	1901240	1902761	-	Tb1125.1.05	Tbb1125VSG-2684.2
CM032576.1	1911026	1911805	-	Tb1125.VSG.310	Tbb1125VSG-4280
CM032576.1	1915079	1916643	-	Tb1125.Tb09.v4.0178	Tbb1125VSG-5173
CM032576.1	1918782	1920314	-	Tb1125.VSG.320	Tbb1125VSG-4133
CM032576.1	1924849	1925727	-	Tb1125.VSG.330	Tbb1125VSG-3162.1
CM032576.1	1928000	1929006	-	Tb1125.VSG.340	Tbb1125VSG-1470
CM032576.1	1932157	1932969	-	Tb1125.VSG.350	Tbb1125VSG-1581
CM032576.1	1939721	1940614	-	Tb1125.VSG.360	Tbb1125VSG-1531
CM032576.1	1942539	1944002	-	Tb1125.VSG.370	Tbb1125VSG-1659
CM032576.1	1946562	1948090	-	Tb1125.9.16560	Tbb1125VSG-2909
CM032576.1	1957594	1958781	-	Tb1125.VSG.380	Tbb1125VSG-5059.2
CM032576.1	1961179	1962078	-	Tb1125.VSG.390	Tbb1125VSG-5478
