cluster,hit_VSG,pct_id_vs_match,pct_id_vs_query,parasites_sum
Cluster 504,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.3987975952,99.2,5103772.205785317
Cluster 809,gnl|BL_ORD_ID|3044 Tbb1125VSG-496 : Complete : 1473nt : contig PacBio-2411,98.0312287848,98.0312287848,1704476.0499835482
Cluster 1830,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,100,100,1659860.7871788926
Cluster 437,gnl|BL_ORD_ID|2876 Tbb1125VSG-313 : Complete : 1473nt : contig Illumina-7014,99.45689,96.50856,1490638.7057572154
Cluster 424,gnl|BL_ORD_ID|3946 Tbb1125VSG-2044 : Complete : 1446nt : contig PacBio-2580,99.8616874136,94.937541091400007,1319648.0854609034
Cluster 1231,gnl|BL_ORD_ID|2630 Tbb1125VSG-60 : Complete : 1434nt : MC : contig Illumina-12,100,100,1284557.8100157715
Cluster 469,gnl|BL_ORD_ID|2882 Tbb1125VSG-319 : Complete : 1470nt : contig PacBio-406,99.38776,99.591,1236337.0228875584
Cluster 327,gnl|BL_ORD_ID|2611 Tbb1125VSG-39 : Complete : 1491nt : MC : contig PacBio-677,99.8658618377,96.751137102,1119340.213439585
Cluster 1123,gnl|BL_ORD_ID|2595 Tbb1125VSG-22 : Complete : 1449nt : MC : contig Illumina-298,100,100,969808.0510972898
Cluster 1274,gnl|BL_ORD_ID|2625 Tbb1125VSG-54 : Complete : 1392nt : MC : contig Illumina-351,100,100,666798.2874238273
Cluster 248,gnl|BL_ORD_ID|2750 Tbb1125VSG-190 : Complete : 1542nt : contig PacBio-104,99.6108949416,98.4615384615,663473.3933586577
Cluster 1088,gnl|BL_ORD_ID|2955 Tbb1125VSG-398 : Complete : 1422nt : contig Illumina-6133,97.32771,97.32771,531554.4436247741
Cluster 50,gnl|BL_ORD_ID|2639 Tbb1125VSG-71 : Complete : 1527nt : MC : contig Illumina-5072,99.738048461,95.9672337744,396172.48506323935
Cluster 825,gnl|BL_ORD_ID|4984 Tbb1125VSG-4253 : Complete : 1470nt : contig PacBio-50,99.6598639456,99.6598639456,393826.4300974885
Cluster 978,gnl|BL_ORD_ID|2591 Tbb1125VSG-16 : Complete : 1461nt : MC : contig Illumina-328,100,100,353747.94505938096
Cluster 662,gnl|BL_ORD_ID|3833 Tbb1125VSG-1707 : Complete but extended : 1491nt : contig PacBio-287,93.0918846412,93.2795698925,352336.99838046735
Cluster 12,gnl|BL_ORD_ID|3781 Tbb1125VSG-1654 : Complete : 1551nt : contig PacBio-2451,100,96.81648,327241.53847914346
Cluster 294,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,100,99.02724,303279.04351174826
Cluster 1537,gnl|BL_ORD_ID|2977 Tbb1125VSG-430 : Complete : 1383nt : contig PacBio-2363,99.8553868402,97.5282485876,276985.96126264293
Cluster 103,gnl|BL_ORD_ID|2683 Tbb1125VSG-130 : Complete : 1593nt : contig PacBio-2320,100,99.4382022472,228110.7021600992
Cluster 409,gnl|BL_ORD_ID|3026 Tbb1125VSG-479 : Complete : 1524nt : contig PacBio-2320,94.0288713911,94.0288713911,222037.63325321305
Cluster 232,gnl|BL_ORD_ID|2634 Tbb1125VSG-65 : Complete : 1464nt : MC : contig Illumina-227,100,94.9416342412,214481.45395705602
Cluster 592,gnl|BL_ORD_ID|5137 Tbb1125VSG-4700 : N-terminus partial : 1419nt : contig PacBio-208,98.66103,93.70817,200210.6624697566
Cluster 1545,gnl|BL_ORD_ID|6 Tb427VSG-8 : GB Accession AY935574 : 1401nt : Complete : contig90003.,99.7144896502,98.7279151943,184971.90893414433
Cluster 741,gnl|BL_ORD_ID|3031 Tbb1125VSG-484 : Complete almost : 1470nt : contig Illumina-3911,100,99.1886409736,157483.41260935488
Cluster 215,gnl|BL_ORD_ID|3009 Tbb1125VSG-462 : Complete but extended : 1575nt : contig PacBio-2245,94.03175,98.33997,147130.16742822365
Cluster 221,gnl|BL_ORD_ID|2610 Tbb1125VSG-38 : Complete : 1512nt : MC : contig Illumina-848,100,100,130774.52468214797
Cluster 2315,gnl|BL_ORD_ID|5298 Tbb1125VSG-4859 : Complete : 1332nt : contig PacBio-24,100,100,93966.93816161374
Cluster 34,gnl|BL_ORD_ID|2657 Tbb1125VSG-105 : Complete : 1695nt : contig PacBio-142,99.82301,98.6014,83553.99143590528
